index,budget,genres,homepage,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,cast,director,userId
22,250000000,Adventure Fantasy,http://www.thehobbit.com/,57158,elves dwarves orcs hobbit dragon,en,The Hobbit: The Desolation of Smaug,94.370564,11-12-2013,NaN,161,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,47
23,180000000,Adventure Fantasy,http://www.goldencompassmovie.com/index_german.html,2268,england compass experiment lordship uncle,en,The Golden Compass,42.990906,04-12-2007,372234864,113,Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz,38
24,207000000,Adventure Drama Action,,254,film business screenplay show business film making film producer,en,King Kong,61.22601,14-12-2005,550000000,187,Released,The eighth wonder of the world.,King Kong,6.6,2337,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson,24
25,200000000,Drama Romance Thriller,http://www.titanicmovie.com,597,shipwreck iceberg ship panic titanic,en,Titanic,100.025899,18-11-1997,1845034188,194,Released,Nothing on Earth could come between them.,Titanic,7.5,7562,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron,11
26,250000000,Adventure Action Science Fiction,http://marvel.com/captainamericapremiere,271110,civil war war marvel comic sequel superhero,en,Captain America: Civil War,198.372395,27-04-2016,1153304495,147,Released,Divided We Fall,Captain America: Civil War,7.1,7241,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo,50
27,209000000,Thriller Action Adventure Science Fiction,,44833,fight u.s. navy mind reading hong kong soccer,en,Battleship,64.928382,11-04-2012,303025485,131,Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg,14
29,200000000,Action Adventure Thriller,http://www.skyfall-movie.com,37724,spy secret agent sociopath killer art gallery,en,Skyfall,93.004993,25-10-2012,1108561013,143,Released,Think on your sins.,Skyfall,6.9,7604,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes,12
30,200000000,Action Adventure Fantasy,http://www.sonypictures.com/movies/spider-man2/,558,dual identity love of one's life pizza boy marvel comic sequel,en,Spider-Man 2,35.149586,25-06-2004,783766341,127,Released,There's a hero in all of us.,Spider-Man 2,6.7,4321,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi,35
31,200000000,Action Adventure Science Fiction,http://marvel.com/ironman3,68721,terrorist war on terror tennessee malibu marvel comic,en,Iron Man 3,77.68208,18-04-2013,1215439994,130,Released,Unleash the power behind the armor.,Iron Man 3,6.8,8806,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black,27
32,200000000,Family Fantasy Adventure,http://disney.go.com/wonderland/,12155,based on novel fictional place queen fantasy alice in wonderland,en,Alice in Wonderland,78.530105,03-03-2010,1025491110,108,Released,You're invited to a very important date.,Alice in Wonderland,,4645,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton,5
